,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
5,172,SFO,Deommodore Lenoir,CB,21,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,,,Oregon,College Stats
5,173,GNB,Tedarrell Slaton,DL,23,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,,1,Florida,College Stats
5,174,LAR,Earnest Brown IV,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,College Stats
5,175,NYJ,Jason Pinnock,CB,22,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,,,Pittsburgh,College Stats
5,176,TAM,K.J. Britt,LB,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,,,Auburn,College Stats
5,177,NWE,Cameron McGrone,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
5,178,GNB,Shemar Jean-Charles,DB,23,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,,,Appalachian St.,College Stats
5,179,DAL,Simi Fehoko,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
5,180,SFO,Talanoa Hufanga,S,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,16,,,USC,College Stats
5,181,KAN,Cornell Powell,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
5,182,ATL,Adetokunbo Ogundeji,DL,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,,1,Notre Dame,College Stats
